,images,masks
0,imgs/0000_0085e9e41513078a_2018-08-19--13-26-08_11_864.png,masks/0000_0085e9e41513078a_2018-08-19--13-26-08_11_864.png
1,imgs/0002_e8e95b54ed6116a6_2018-09-05--22-04-33_2_608.png,masks/0002_e8e95b54ed6116a6_2018-09-05--22-04-33_2_608.png
2,imgs/0003_97a4ec76e41e8853_2018-09-29--22-46-37_5_585.png,masks/0003_97a4ec76e41e8853_2018-09-29--22-46-37_5_585.png
3,imgs/0004_2ac95059f70d76eb_2018-05-12--17-46-52_56_371.png,masks/0004_2ac95059f70d76eb_2018-05-12--17-46-52_56_371.png
4,imgs/0005_836d09212ac1b8fa_2018-06-15--15-57-15_23_345.png,masks/0005_836d09212ac1b8fa_2018-06-15--15-57-15_23_345.png
5,imgs/0007_b5e785c1fc446ed0_2018-06-14--08-27-35_78_873.png,masks/0007_b5e785c1fc446ed0_2018-06-14--08-27-35_78_873.png
6,imgs/0008_b8727c7398d117f5_2018-10-22--15-38-24_71_990.png,masks/0008_b8727c7398d117f5_2018-10-22--15-38-24_71_990.png
7,imgs/0009_ef53f1ffea65e93c_2018-07-26--03-48-48_14_191.png,masks/0009_ef53f1ffea65e93c_2018-07-26--03-48-48_14_191.png
8,imgs/0010_dad4fa0b6f4978ea_2018-09-07--02-42-25_21_161.png,masks/0010_dad4fa0b6f4978ea_2018-09-07--02-42-25_21_161.png
9,imgs/0011_ce0ea5158a0e1080_2018-09-20--12-28-17_4_1034.png,masks/0011_ce0ea5158a0e1080_2018-09-20--12-28-17_4_1034.png
10,imgs/0012_76c3bc6da8109da7_2018-09-01--13-03-11_31_1101.png,masks/0012_76c3bc6da8109da7_2018-09-01--13-03-11_31_1101.png
11,imgs/0013_f550e313a9262051_2018-05-21--17-33-38_26_590.png,masks/0013_f550e313a9262051_2018-05-21--17-33-38_26_590.png
12,imgs/0015_6c7ffc65dfef4e01_2018-09-15--12-28-30_84_312.png,masks/0015_6c7ffc65dfef4e01_2018-09-15--12-28-30_84_312.png
13,imgs/0016_5e66baa66592fc5d_2018-05-29--07-52-39_28_98.png,masks/0016_5e66baa66592fc5d_2018-05-29--07-52-39_28_98.png
14,imgs/0017_c0b1a80d2392173a_2018-09-05--02-13-45_7_893.png,masks/0017_c0b1a80d2392173a_2018-09-05--02-13-45_7_893.png
15,imgs/0018_55d35794f4955cd1_2018-05-03--21-04-31_54_175.png,masks/0018_55d35794f4955cd1_2018-05-03--21-04-31_54_175.png
16,imgs/0019_0c5c849415c7dba2_2018-10-15--08-53-10_36_420.png,masks/0019_0c5c849415c7dba2_2018-10-15--08-53-10_36_420.png
17,imgs/0020_dad4fa0b6f4978ea_2018-09-11--00-13-25_49_516.png,masks/0020_dad4fa0b6f4978ea_2018-09-11--00-13-25_49_516.png
18,imgs/0021_1aaddf65aad975af_2018-07-31--07-59-51_1_124.png,masks/0021_1aaddf65aad975af_2018-07-31--07-59-51_1_124.png
19,imgs/0023_f1c614852a4e62c3_2018-07-27--19-45-12_8_334.png,masks/0023_f1c614852a4e62c3_2018-07-27--19-45-12_8_334.png
20,imgs/0024_cd7949d31d90a6b2_2018-10-14--22-35-20_8_411.png,masks/0024_cd7949d31d90a6b2_2018-10-14--22-35-20_8_411.png
21,imgs/0026_13591d1e8bb0f230_2018-08-21--18-20-01_14_747.png,masks/0026_13591d1e8bb0f230_2018-08-21--18-20-01_14_747.png
22,imgs/0027_8443d7dd0ec9bd92_2018-11-07--07-41-14_6_884.png,masks/0027_8443d7dd0ec9bd92_2018-11-07--07-41-14_6_884.png
23,imgs/0028_8819eca74f12f21f_2018-08-20--00-41-09_6_862.png,masks/0028_8819eca74f12f21f_2018-08-20--00-41-09_6_862.png
24,imgs/0029_b67de2c85620cf60_2018-10-02--17-04-44_7_747.png,masks/0029_b67de2c85620cf60_2018-10-02--17-04-44_7_747.png
25,imgs/0031_836d09212ac1b8fa_2018-07-24--16-17-41_15_344.png,masks/0031_836d09212ac1b8fa_2018-07-24--16-17-41_15_344.png
